model,scenario,time,future_tair,psis,Ca,al,D
NorESM2-MM,ssp245,2000-01,21.98196571612903,-1.0589737661290324,420.0,10.0,690.4511586343369
NorESM2-MM,ssp245,2000-02,22.480094475862067,-1.6511128586206896,420.0,10.0,727.109524750156
NorESM2-MM,ssp245,2000-03,25.568563712903224,-2.216845574193548,420.0,10.0,848.8473278696656
NorESM2-MM,ssp245,2000-04,26.22708893333333,-2.028764821,420.0,10.0,957.3983452718999
NorESM2-MM,ssp245,2000-05,29.222151822580642,-3.825631958064516,420.0,10.0,1146.4990099729325
NorESM2-MM,ssp245,2000-06,29.2333277,-1.6644695813333332,420.0,10.0,883.7714521506239
NorESM2-MM,ssp245,2000-07,29.870531241935485,-1.0614653248387096,420.0,10.0,899.6845861803926
NorESM2-MM,ssp245,2000-08,29.396616829032258,-0.7385000548387096,420.0,10.0,862.2572942636472
NorESM2-MM,ssp245,2000-09,29.416526733333335,-0.7360653546666666,420.0,10.0,707.7378678962657
NorESM2-MM,ssp245,2000-10,26.65882089677419,-0.5079262993548387,420.0,10.0,819.4628915692626
NorESM2-MM,ssp245,2000-11,24.409237033333333,-1.4642776833333333,420.0,10.0,795.4316546933026
NorESM2-MM,ssp245,2000-12,20.736601532258064,-1.209745677419355,420.0,10.0,573.7263290171618
NorESM2-MM,ssp245,2001-01,18.15750480967742,-2.061493270967742,420.0,10.0,609.7544471212594
NorESM2-MM,ssp245,2001-02,24.360813871428572,-2.9508562821428574,420.0,10.0,691.7639764589974
NorESM2-MM,ssp245,2001-03,23.733499549999998,-2.239365537419355,420.0,10.0,795.8082022570148
NorESM2-MM,ssp245,2001-04,25.04629767,-4.23556568,420.0,10.0,916.3471365919474
NorESM2-MM,ssp245,2001-05,26.300066288387097,-1.7393377596774193,420.0,10.0,835.1195061092004
NorESM2-MM,ssp245,2001-06,28.812523993333333,-1.8127693379999998,420.0,10.0,916.4131629522475
NorESM2-MM,ssp245,2001-07,29.319614074193552,-0.6484331983870968,420.0,10.0,775.8074604341992
NorESM2-MM,ssp245,2001-08,30.641042003225806,-0.6360538351612903,420.0,10.0,870.1231994256847
NorESM2-MM,ssp245,2001-09,29.048001499999998,-0.3805491543333333,420.0,10.0,664.515846377633
